Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:51 IST 2020,1605120171,500023,0.035086177,0.19524065,-9.814126,-0.19476498810340306,-0.23887290783452064,0.409006602134556,1282.093,-414.51385,529.54517,39.748123,98470.375,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,550244,0.02929507,0.20118536,-9.803232,-0.2156990056453044,-0.2552411526164931,0.4223679699709165,1281.2601,-414.8578,529.8918,39.746895,98470.79,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,600024,0.030713497,0.16030437,-9.814245,-0.1678733570307058,-0.24536219467395898,0.4042996531590325,1281.0414,-415.184,530.0542,39.74976,98472.375,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,650022,0.033630606,0.19399168,-9.771787,-0.2155361246063473,-0.23242915558954905,0.3841002793806091,1281.0646,-414.39172,529.0277,39.745182,98469.79,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,700111,0.027089998,0.19756098,-9.804083,-0.1597380135740421,-0.24726130979993333,0.4373074909605038,1281.7278,-413.94678,529.6737,39.749847,98469.81,41.57
Thu Nov 12 00:12:51 IST 2020,1605120171,750022,0.03513822,0.14436072,-9.799775,-0.21240108675005914,-0.2664279020576077,0.41769274342953816,1281.4827,-415.02472,530.12,39.74118,98470.45,41.575
Thu Nov 12 00:12:51 IST 2020,1605120171,800059,0.045499507,0.17629029,-9.796831,-0.21986889305184026,-0.251103386071804,0.40987877934607125,1281.3992,-419.3808,529.9915,39.73935,98469.55,41.575
Thu Nov 12 00:12:51 IST 2020,1605120171,850009,0.018829579,0.16991132,-9.810779,-0.191081789620726,-0.2589242752081794,0.42066569710227236,1281.6102,-414.3011,529.6925,39.75377,98470.47,41.575
Thu Nov 12 00:12:51 IST 2020,1605120171,900024,0.032700907,0.18205482,-9.809112,-0.2474747721842439,-0.23479329276151512,0.42373510822428534,1281.3901,-413.50073,530.0231,39.748478,98468.44,41.575
Thu Nov 12 00:12:51 IST 2020,1605120171,950223,0.022879396,0.2019947,-9.794009,-0.2372937870711614,-0.22175286792515442,0.3882134951897816,1280.9529,-414.3154,530.0167,39.749844,98470.14,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,19,0.0381148,0.1833216,-9.799895,-0.1657685583469756,-0.2514696549660459,0.45375155084226343,1280.8656,-414.80634,530.3753,39.74306,98471.05,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,50000,0.024729455,0.19660732,-9.801688,-0.24643073982411207,-0.2495178335469763,0.4058525346123303,1281.5061,-414.81406,529.7778,39.752007,98468.88,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,100122,0.023972537,0.20215665,-9.820476,-0.20326864951105972,-0.2296020833738377,0.43245881555970256,1282.2029,-413.79858,529.84064,39.748974,98468.54,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,149989,0.058184184,0.15932876,-9.796952,-0.15807589652589335,-0.2748918535043398,0.41559523028092266,1280.9495,-414.21747,529.85913,39.746708,98470.086,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,200322,0.014747186,0.19604954,-9.781694,-0.24010526368826787,-0.2591371684100591,0.397697478470812,1281.7015,-414.3956,529.2242,39.741936,98468.766,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,250011,0.02247774,0.20565826,-9.801883,-0.18796838069680954,-0.2554248277869233,0.44178763971008755,1282.1288,-414.04352,529.86487,39.74264,98469.93,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,300024,0.044951256,0.13876444,-9.814099,-0.19782339503175322,-0.23261706168271518,0.42233825864802693,1282.5869,-413.7806,530.0065,39.75441,98469.83,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,350211,0.041250784,0.18629147,-9.782763,-0.24276385790445226,-0.2438378102876983,0.40051083338994026,1282.0378,-414.1578,530.11487,39.736004,98470.51,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,400035,0.023380265,0.19621418,-9.792371,-0.19131075273990297,-0.2472875111644994,0.4357131730262413,1281.7157,-414.64386,529.4915,39.74594,98470.14,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,450000,0.04229175,0.17151201,-9.837482,-0.24608541684332486,-0.22191322558866816,0.4040890556596238,1282.1497,-414.4904,529.74634,39.74441,98470.97,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,500066,0.050021283,0.19086109,-9.769422,-0.19351711254204174,-0.2552224454872663,0.40585333146773345,1282.7019,-414.32767,530.0777,39.74539,98470.375,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,550011,0.01965145,0.20715675,-9.823871,-0.1680504486576861,-0.23878756841539087,0.4056016010513231,1282.1096,-414.96692,529.68164,39.744522,98471.2,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,600300,0.024299202,0.19452424,-9.800871,-0.2653057588952177,-0.26911924323631276,0.41094709682325203,1282.5474,-414.81454,529.8436,39.74539,98469.64,41.58
Thu Nov 12 00:12:52 IST 2020,1605120172,650011,0.039044052,0.1806473,-9.804129,-0.17865342562498923,-0.2230889288177997,0.40166908169119286,1282.4392,-414.2886,529.6646,39.753117,98469.34,41.585
Thu Nov 12 00:12:52 IST 2020,1605120172,700046,0.01132362,0.19541636,-9.827448,-0.1720534517755013,-0.2229961141360783,0.4391776347007487,1282.6508,-414.23306,529.6083,39.739357,98470.13,41.58
